,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
MultinomialNB,0.8368794326241135,0.8852459016393442,0.7714285714285715,0.8244274809160306,0.9014084507042254,0.7714285714285715,54,7,64,16
GaussianNB,0.9645390070921985,0.9850746268656716,0.9428571428571428,0.9635036496350364,0.9859154929577465,0.9428571428571428,66,1,70,4
SVC,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
