,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1854,0,646,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1854,0,646,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1854,0,646,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1854,0,646,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1854,0,646,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1854,0,646,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1854,0,646,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1854,0,646,0
MultinomialNB,0.868,0.8489010989010989,1.0,0.9182763744427934,0.4891640866873065,1.0,1854,330,316,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1854,0,646,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1854,0,646,0
