,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,45,0,33,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,45,0,33,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,45,0,33,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,45,0,33,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,45,0,33,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,45,0,33,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,45,0,33,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,45,0,33,0
MultinomialNB,0.782051282051282,0.868421052631579,0.7333333333333333,0.7951807228915663,0.8484848484848485,0.7333333333333333,33,5,28,12
GaussianNB,0.9358974358974359,0.9761904761904762,0.9111111111111111,0.9425287356321839,0.9696969696969697,0.9111111111111111,41,1,32,4
SVC,1.0,1.0,1.0,1.0,1.0,1.0,45,0,33,0
