,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,679,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,679,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,679,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,679,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,679,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,679,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,679,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,679,0
MultinomialNB,0.864,0.8426654326700601,1.0,0.9146157709693622,0.4992636229749632,1.0,1821,340,339,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,679,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1821,0,679,0
