,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1562,0,938,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1562,0,938,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1562,0,938,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1562,0,938,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1562,0,938,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1562,0,938,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1562,0,938,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1562,0,938,0
MultinomialNB,0.81,0.7668139420716741,1.0,0.8680188941372604,0.4936034115138593,1.0,1562,475,463,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1562,0,938,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1562,0,938,0
