,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1848,0,1902,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1848,0,1902,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1848,0,1902,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1848,0,1902,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1848,0,1902,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1848,0,1902,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1848,0,1902,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1848,0,1902,0
MultinomialNB,0.812,0.7238542890716804,1.0,0.8398091342876619,0.6293375394321766,1.0,1848,705,1197,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1848,0,1902,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1848,0,1902,0
