,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1800,0,1950,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1800,0,1950,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1800,0,1950,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1800,0,1950,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1800,0,1950,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1800,0,1950,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1800,0,1950,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1800,0,1950,0
MultinomialNB,0.7208,0.6322444678609063,1.0,0.7746933505487411,0.46307692307692305,1.0,1800,1047,903,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1800,0,1950,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1800,0,1950,0
