,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1889,0,1861,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1889,0,1861,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1889,0,1861,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1889,0,1861,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1889,0,1861,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1889,0,1861,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1889,0,1861,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1889,0,1861,0
MultinomialNB,0.852,0.7729132569558101,1.0,0.871913224094161,0.7017732401934443,1.0,1889,555,1306,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1889,0,1861,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1889,0,1861,0
