,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,130,0,121,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,130,0,121,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,130,0,121,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,130,0,121,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,130,0,121,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,130,0,121,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,130,0,121,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,130,0,121,0
MultinomialNB,0.7290836653386454,0.8163265306122449,0.6153846153846154,0.7017543859649124,0.8512396694214877,0.6153846153846154,80,18,103,50
GaussianNB,0.9163346613545816,0.9504132231404959,0.8846153846153846,0.9163346613545816,0.9504132231404959,0.8846153846153846,115,6,115,15
SVC,1.0,1.0,1.0,1.0,1.0,1.0,130,0,121,0
