,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,150,0,141,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,150,0,141,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,150,0,141,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,150,0,141,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,150,0,141,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,150,0,141,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,150,0,141,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,150,0,141,0
MultinomialNB,0.8109965635738832,0.9130434782608695,0.7,0.7924528301886793,0.9290780141843972,0.7,105,10,131,45
GaussianNB,0.9037800687285223,0.9420289855072463,0.8666666666666667,0.9027777777777778,0.9432624113475178,0.8666666666666667,130,8,133,20
SVC,1.0,1.0,1.0,1.0,1.0,1.0,150,0,141,0
