,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,191,0,209,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,191,0,209,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,191,0,209,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,191,0,209,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,191,0,209,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,191,0,209,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,191,0,209,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,191,0,209,0
MultinomialNB,0.8025,0.7947368421052632,0.7905759162303665,0.7926509186351707,0.8133971291866029,0.7905759162303665,151,39,170,40
GaussianNB,0.8975,0.8787878787878788,0.9109947643979057,0.8946015424164525,0.8851674641148325,0.9109947643979057,174,24,185,17
SVC,1.0,1.0,1.0,1.0,1.0,1.0,191,0,209,0
